L2,Lambda1,Lambda2
0.15,8.588611463572398,7.156625577105678
0.155,8.497513897636853,7.166569828731402
0.16,8.41310081419319,7.175381425815614
0.165,8.33481525648389,7.183643402381136
0.17,8.262303794191368,7.191196893074471
0.17500000000000002,8.195132698944883,7.19824100456807
0.18000000000000002,8.13293859944186,7.204914494865837
0.18500000000000003,8.075446453033573,7.211116115528747
0.19000000000000003,8.022282043738223,7.186214781212169
0.19500000000000003,7.97323559205949,7.083165986500488
0.20000000000000004,7.928012316169191,6.91720405534984
0.20500000000000004,7.886370001039393,6.703407941159999
0.21000000000000005,7.848145866953086,6.455253174708815
0.21500000000000005,7.813071222693262,6.184480414557526
0.22000000000000006,7.781011727187648,5.90107948568237
0.22500000000000006,7.751777221155052,5.613355511302586
0.23000000000000007,7.725179683095135,5.328049147090823
0.23500000000000007,7.701146877002097,5.050488630735802
0.24000000000000007,7.67946673740156,4.784756707868213
0.24500000000000008,7.660038043240696,4.533860152831746
0.25000000000000006,7.642763163140992,4.2998934473080945
0.25500000000000006,7.6274860650786245,4.0841912184964775
0.26000000000000006,7.614147832438663,3.887466348921069
0.26500000000000007,7.602631968576402,3.7099323607251775
0.2700000000000001,7.59282585875029,3.5514098641645417
0.2750000000000001,7.584702150557666,3.4114176517833035
0.2800000000000001,7.578132037315406,3.289249511745148
0.2850000000000001,7.573041198003227,3.1840381054384093
0.2900000000000001,7.569409490475316,3.094807369489892
0.2950000000000001,7.567117702699834,3.020514910305154
0.3000000000000001,7.566118220654797,2.960085797701539
0.3050000000000001,7.566384509383033,2.966995484106236
0.3100000000000001,7.56781925497498,2.9959022848133268
0.3150000000000001,7.570388367818857,3.0250568172549466
0.3200000000000001,7.574064843985964,3.054445886666211
0.3250000000000001,7.578766799680664,3.084042558126731
0.3300000000000001,7.584468252394872,3.1138339674990068
0.33500000000000013,7.59114711344807,3.1438082546405575
0.34000000000000014,7.598731489660324,3.1739544837779405
0.34500000000000014,7.60719896576114,3.2042625705935484
0.35000000000000014,7.616537218414383,3.234723215421501
0.35500000000000015,7.626679747870524,3.2653278420086007
0.36000000000000015,7.637603881904426,3.2960685413445807
0.36500000000000016,7.649311403098514,3.3269380201149064
0.37000000000000016,7.661737303131009,3.3579424106586115
0.37500000000000017,7.674856221162431,3.3890667788040143
0.38000000000000017,7.688685499542583,3.4203030865783877
0.3850000000000002,7.70316070892215,3.45165619619227
0.3900000000000002,7.718259368176404,3.483122331659688
0.3950000000000002,7.7339904486134,3.514686924966186
0.4000000000000002,7.7503146192641665,3.5463655179017683
0.4050000000000002,7.767202539492562,3.57814001776889
0.4100000000000002,7.784652676989353,3.6100140272409886
0.4150000000000002,7.802653530666966,3.6419882286821608
0.4200000000000002,7.821166676796698,3.674051964969758
0.4250000000000002,7.8401782609339605,3.706217079662836
0.4300000000000002,7.859707015687745,3.738465791694985
0.4350000000000002,7.879703527127412,3.7708142627550534
0.4400000000000002,7.900154533231194,3.803244007200232
0.44500000000000023,7.92106770627866,3.835769349396738
